channel,feature_name,feature_value,object_id,plate_column,plate_row,platedir,region,timepoint
1,q0_500,2798.0,42,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3619.0,42,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9758.0,42,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,400.0,43,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1952.25,43,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2613.0,43,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3531.0,43,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9919.0,43,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,420.0,44,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1915.0,44,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2493.0,44,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3323.0,44,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9658.0,44,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,442.0,45,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1847.0,45,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2506.0,45,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3439.0,45,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9388.0,45,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,433.0,46,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1874.0,46,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2537.0,46,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3370.75,46,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,9020.0,46,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,478.0,47,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1948.0,47,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2615.0,47,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3451.5,47,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,8539.0,47,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,469.0,48,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1809.0,48,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2443.0,48,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3144.0,48,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,10787.0,48,2,A,200129MZ072BBB07,l100seg,72
1,q0_000,436.0,49,2,A,200129MZ072BBB07,l100seg,72
1,q0_250,1864.0,49,2,A,200129MZ072BBB07,l100seg,72
1,q0_500,2517.0,49,2,A,200129MZ072BBB07,l100seg,72
1,q0_750,3401.75,49,2,A,200129MZ072BBB07,l100seg,72
1,q1_000,12190.0,49,2,A,200129MZ072BBB07,l100seg,72
